Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Mining textual requirements to assist architectural software design: a state of the art review","Artificial Intelligence Review","","38","3","10.1007/s10462-011-9237-7","Agustin CasamayorDaniela GodoyMarcelo Campo","2012","http://link.springer.com/article/10.1007/s10462-011-9237-7","Article"
"EA-Analyzer: automating conflict detection in a large set of textual aspect-oriented requirements","Automated Software Engineering","","20","1","10.1007/s10515-012-0106-7","Alberto SardinhaRuzanna ChitchyanNathan WestonPhil GreenwoodAwais Rashid","2013","http://link.springer.com/article/10.1007/s10515-012-0106-7","Article"
"Systems performance prediction using requirements quality attributes classification","Requirements Engineering","","21","4","10.1007/s00766-015-0232-4","John L. DarganJames S. WasekEnrique Campos-Nanez","2016","http://link.springer.com/article/10.1007/s00766-015-0232-4","Article"
"Early failure prediction in feature request management systems: an extended study","Requirements Engineering","","17","2","10.1007/s00766-012-0150-7","Camilo FitzgeraldEmmanuel LetierAnthony Finkelstein","2012","http://link.springer.com/article/10.1007/s00766-012-0150-7","Article"
"Editorial special issue RE 2017","Requirements Engineering","","23","3","10.1007/s00766-018-0295-0","Jane HayesBarbara Paech","2018","http://link.springer.com/article/10.1007/s00766-018-0295-0","Article"
"RePizer: a framework for prioritization of software requirements","Frontiers of Information Technology & Electronic Engineering","","17","8","10.1631/FITEE.1500162","Saif Ur Rehman KhanSai Peck LeeMohammad DabbaghMuhammad TahirMuzafar KhanMuhammad Arif","2016","http://link.springer.com/article/10.1631/FITEE.1500162","Article"
"A survey of autonomic computing methods in digital service ecosystems","Service Oriented Computing and Applications","","11","1","10.1007/s11761-016-0203-8","Dhaminda B. AbeywickramaEila Ovaska","2017","http://link.springer.com/article/10.1007/s11761-016-0203-8","Article"
"Engineering requirements for adaptive systems","Requirements Engineering","","22","1","10.1007/s00766-015-0236-0","Mirko MorandiniLoris PenseriniAnna PeriniAlessandro Marchetto","2017","http://link.springer.com/article/10.1007/s00766-015-0236-0","Article"
"Supporting incremental behaviour model elaboration","Computer Science - Research and Development","","28","4","10.1007/s00450-012-0233-1","Sebastian UchitelDalal AlrajehShoham Ben-DavidVictor BrabermanMarsha ChechikGuido De CasoNicolas D’IppolitoDario FischbeinDiego GarbervetskyJeff KramerAlessandra RussoGerman Sibay","2013","http://link.springer.com/article/10.1007/s00450-012-0233-1","Article"
"Automated bug assignment: Ensemble-based machine learning in large scale industrial contexts","Empirical Software Engineering","","21","4","10.1007/s10664-015-9401-9","Leif JonssonMarkus BorgDavid BromanKristian SandahlSigrid EldhPer Runeson","2016","http://link.springer.com/article/10.1007/s10664-015-9401-9","Article"
"Decision support for the software product line domain engineering lifecycle","Automated Software Engineering","","19","3","10.1007/s10515-011-0099-7","Ebrahim BagheriFaezeh EnsanDragan Gasevic","2012","http://link.springer.com/article/10.1007/s10515-011-0099-7","Article"
"Visual requirements analytics: a framework and case study","Requirements Engineering","","19","3","10.1007/s00766-013-0194-3","Sandeep ReddivariShirin RadTanmay BhowmikNisreen CainNan Niu","2014","http://link.springer.com/article/10.1007/s00766-013-0194-3","Article"
"Deriving non-Zeno behaviour models from goal models using ILP","Formal Aspects of Computing","","22","3 - 4","10.1007/s00165-009-0128-5","D. AlrajehJ. KramerA. RussoS. Uchitel","2010","http://link.springer.com/article/10.1007/s00165-009-0128-5","Article"
"Known and unknown requirements in healthcare","Requirements Engineering","","","","10.1007/s00766-018-0301-6","Alistair SutcliffePete SawyerGemma StringerSamuel CouthLaura J. E. BrownAnn GledsonChristopher BullPaul RaysonJohn KeaneXiao-jun ZengIracema Leroi","2018","http://link.springer.com/article/10.1007/s00766-018-0301-6","Article"
"Designing Business Analytics Solutions","Business & Information Systems Engineering","","","","10.1007/s12599-018-0555-z","Soroosh NalchigarEric Yu","2018","http://link.springer.com/article/10.1007/s12599-018-0555-z","Article"
"Customer support ticket escalation prediction using feature engineering","Requirements Engineering","","23","3","10.1007/s00766-018-0292-3","Lloyd MontgomeryDaniela DamianTyson BulmerShaikh Quader","2018","http://link.springer.com/article/10.1007/s00766-018-0292-3","Article"
"Health—exploring complexity: an interdisciplinary systems approach HEC2016","European Journal of Epidemiology","","31","1","10.1007/s10654-016-0183-1","Eva GrillMartin MüllerUlrich Mansmann","2016","http://link.springer.com/article/10.1007/s10654-016-0183-1","Article"
"On user rationale in software engineering","Requirements Engineering","","23","3","10.1007/s00766-018-0293-2","Zijad KurtanovićWalid Maalej","2018","http://link.springer.com/article/10.1007/s00766-018-0293-2","Article"
"Automated measurement of models of requirements","Software Quality Journal","","21","1","10.1007/s11219-011-9163-6","M. MonperrusB. BaudryJ. ChampeauB. HoeltzenerJ. M. Jézéquel","2013","http://link.springer.com/article/10.1007/s11219-011-9163-6","Article"
"Automated training-set creation for software architecture traceability problem","Empirical Software Engineering","","22","3","10.1007/s10664-016-9476-y","Waleed ZogaanIbrahim MujhidJoanna C. S. SantosDanielle GonzalezMehdi Mirakhorli","2017","http://link.springer.com/article/10.1007/s10664-016-9476-y","Article"
"RELAX: a language to address uncertainty in self-adaptive systems requirement","Requirements Engineering","","15","2","10.1007/s00766-010-0101-0","Jon WhittlePete SawyerNelly BencomoBetty H. C. ChengJean-Michel Bruel","2010","http://link.springer.com/article/10.1007/s00766-010-0101-0","Article"
"Managing Software Requirements Changes Based on Negotiation-Style Revision","Journal of Computer Science and Technology","","26","5","10.1007/s11390-011-0187-y","Ke-Dian MuWeiru LiuZhi JinJun HongDavid Bell","2011","http://link.springer.com/article/10.1007/s11390-011-0187-y","Article"
"Stability prediction of the software requirements specification","Software Quality Journal","","26","2","10.1007/s11219-017-9362-x","José del SagradoIsabel M. del Águila","2018","http://link.springer.com/article/10.1007/s11219-017-9362-x","Article"
"Special issue on realizing artificial intelligence synergies in software engineering","Software Quality Journal","","22","1","10.1007/s11219-014-9228-4","Tim MenziesMarjan Mernik","2014","http://link.springer.com/article/10.1007/s11219-014-9228-4","Article"
"CSLabel: An Approach for Labelling Mobile App Reviews","Journal of Computer Science and Technology","","32","6","10.1007/s11390-017-1784-1","Li ZhangXin-Yue HuangJing JiangYa-Kun Hu","2017","http://link.springer.com/article/10.1007/s11390-017-1784-1","Article"
"Improving agile requirements: the Quality User Story framework and tool","Requirements Engineering","","21","3","10.1007/s00766-016-0250-x","Garm LucassenFabiano DalpiazJan Martijn E. M. van der WerfSjaak Brinkkemper","2016","http://link.springer.com/article/10.1007/s00766-016-0250-x","Article"
"Identifying the implied: Findings from three differentiated replications on the use of security requirements templates","Empirical Software Engineering","","22","4","10.1007/s10664-016-9481-1","Maria RiazJason KingJohn SlankasLaurie WilliamsFabio MassacciChristian Quesada-LópezMarcelo Jenkins","2017","http://link.springer.com/article/10.1007/s10664-016-9481-1","Article"
"Towards understanding and detecting fake reviews in app stores","Empirical Software Engineering","","","","10.1007/s10664-019-09706-9","Daniel MartensWalid Maalej","2019","http://link.springer.com/article/10.1007/s10664-019-09706-9","Article"
"Green software requirements and measurement: random decision forests-based software energy consumption profiling","Requirements Engineering","","22","1","10.1007/s00766-015-0234-2","Mohamed Amine BeghouraAbdelhak BoubetraAbdallah Boukerram","2017","http://link.springer.com/article/10.1007/s00766-015-0234-2","Article"
"An automated framework for detection and resolution of cross references in legal texts","Requirements Engineering","","22","2","10.1007/s00766-015-0241-3","Nicolas SannierMorayo AdedjoumaMehrdad SabetzadehLionel Briand","2017","http://link.springer.com/article/10.1007/s00766-015-0241-3","Article"
"Recovering from a decade: a systematic mapping  of information retrieval approaches  to software traceability","Empirical Software Engineering","","19","6","10.1007/s10664-013-9255-y","Markus BorgPer RunesonAnders Ardö","2014","http://link.springer.com/article/10.1007/s10664-013-9255-y","Article"
"A framework to improve communication during the requirements elicitation process in GSD projects","Requirements Engineering","","15","4","10.1007/s00766-010-0105-9","Gabriela N. ArandaAurora VizcaínoMario Piattini","2010","http://link.springer.com/article/10.1007/s00766-010-0105-9","Article"
"On the role of semantics in automated requirements tracing","Requirements Engineering","","20","3","10.1007/s00766-013-0199-y","Anas MahmoudNan Niu","2015","http://link.springer.com/article/10.1007/s00766-013-0199-y","Article"
"Patterns of continuous requirements clarification","Requirements Engineering","","20","4","10.1007/s00766-014-0205-z","Eric KnaussDaniela DamianJane Cleland-HuangRemko Helms","2015","http://link.springer.com/article/10.1007/s00766-014-0205-z","Article"
"A formal approach to adaptive software: continuous assurance of non-functional requirements","Formal Aspects of Computing","","24","2","10.1007/s00165-011-0207-2","Antonio FilieriCarlo GhezziGiordano Tamburrelli","2012","http://link.springer.com/article/10.1007/s00165-011-0207-2","Article"
"Formalizing requirements with object models and temporal constraints","Software & Systems Modeling","","10","2","10.1007/s10270-009-0130-7","Alessandro CimattiMarco RoveriAngelo SusiStefano Tonetta","2011","http://link.springer.com/article/10.1007/s10270-009-0130-7","Article"
"RADON: rational decomposition and orchestration for serverless computing","SICS Software-Intensive Cyber-Physical Systems","","","","10.1007/s00450-019-00413-w","G. CasaleM. ArtačW.-J. van den HeuvelA. van HoornP. JakovitsF. LeymannM. LongV. PapanikolaouD. PresenzaA. RussoS. N. SriramaD. A. TamburriM. WursterL. Zhu","2019","http://link.springer.com/article/10.1007/s00450-019-00413-w","Article"
"Identifying duplicate functionality in textual use cases by aligning semantic actions","Software & Systems Modeling","","15","2","10.1007/s10270-014-0431-3","Alejandro RagoClaudia MarcosJ. Andres Diaz-Pace","2016","http://link.springer.com/article/10.1007/s10270-014-0431-3","Article"
"Overcoming Scalability Issues in Analytic Hierarchy Process with ReDCCahp: An Empirical Investigation","Arabian Journal for Science and Engineering","","43","12","10.1007/s13369-018-3283-2","Iyas IbriweshSin-Ban HoIan Chai","2018","http://link.springer.com/article/10.1007/s13369-018-3283-2","Article"
"A visual language for modeling and executing traceability queries","Software & Systems Modeling","","12","3","10.1007/s10270-012-0237-0","Patrick MäderJane Cleland-Huang","2013","http://link.springer.com/article/10.1007/s10270-012-0237-0","Article"
"Thirteen years of SysML: a systematic mapping study","Software & Systems Modeling","","","","10.1007/s10270-019-00735-y","Sabine WolnyAlexandra MazakChristine CarpellaVerena GeistManuel Wimmer","2019","http://link.springer.com/article/10.1007/s10270-019-00735-y","Article"
"Uncovering quality-attribute concerns in use case specifications via early aspect mining","Requirements Engineering","","18","1","10.1007/s00766-011-0142-z","Alejandro RagoClaudia MarcosJ. Andrés Diaz-Pace","2013","http://link.springer.com/article/10.1007/s00766-011-0142-z","Article"
"A cross-domain empirical study and legal evaluation of the requirements water marking method","Requirements Engineering","","18","2","10.1007/s00766-013-0167-6","David G. GordonTravis D. Breaux","2013","http://link.springer.com/article/10.1007/s00766-013-0167-6","Article"
"The quest for runware: on compositional, executable and intuitive models","Software & Systems Modeling","","11","4","10.1007/s10270-012-0258-8","David HarelAssaf Marron","2012","http://link.springer.com/article/10.1007/s10270-012-0258-8","Article"
"Evolution Prediction and Process Support of OSS Studies: A Systematic Mapping","Arabian Journal for Science and Engineering","","42","8","10.1007/s13369-017-2556-5","Ghulam RasoolNancy Fazal","2017","http://link.springer.com/article/10.1007/s13369-017-2556-5","Article"
"Inferring extended finite state machine models from software executions","Empirical Software Engineering","","21","3","10.1007/s10664-015-9367-7","Neil WalkinshawRamsay TaylorJohn Derrick","2016","http://link.springer.com/article/10.1007/s10664-015-9367-7","Article"
"Mitteilungen der Schweizer Informatik Gesellschaft / 6_2015","Informatik-Spektrum","","38","6","10.1007/s00287-015-0937-2","","2015","http://link.springer.com/article/10.1007/s00287-015-0937-2","Article"
"Model-driven generative development of measurement software","Software & Systems Modeling","","10","4","10.1007/s10270-010-0165-9","Martin MonperrusJean-Marc JézéquelBenoit BaudryJoël ChampeauBrigitte Hoeltzener","2011","http://link.springer.com/article/10.1007/s10270-010-0165-9","Article"
"Incorporating decision maker’s preferences in a multi-objective approach for the software release planning","Journal of the Brazilian Computer Society","","23","1","10.1186/s13173-017-0060-0","Raphael SaraivaAllysson Allex AraújoAltino DantasItalo YeltsinJerffeson Souza","2017","http://link.springer.com/article/10.1186/s13173-017-0060-0","Article"
"TiQi: answering unstructured natural language trace queries","Requirements Engineering","","20","3","10.1007/s00766-015-0224-4","Piotr PruskiSugandha LoharWilliam GossAlexander RasinJane Cleland-Huang","2015","http://link.springer.com/article/10.1007/s00766-015-0224-4","Article"
"Predicting the Flow of Defect Correction Effort using a Bayesian Network Model","Empirical Software Engineering","","18","3","10.1007/s10664-011-9175-7","Thomas SchulzŁukasz RadlińskiThomas GorgesWolfgang Rosenstiel","2013","http://link.springer.com/article/10.1007/s10664-011-9175-7","Article"
"Effective use of analysts’ effort in automated tracing","Requirements Engineering","","23","1","10.1007/s00766-016-0260-8","Jane Huffman HayesAlex DekhtyarJody LarsenYann-Gaël Guéhéneuc","2018","http://link.springer.com/article/10.1007/s00766-016-0260-8","Article"
"Graph-based traceability: a comprehensive approach","Software & Systems Modeling","","9","4","10.1007/s10270-009-0141-4","Hannes SchwarzJürgen EbertAndreas Winter","2010","http://link.springer.com/article/10.1007/s10270-009-0141-4","Article"
"Analysis of effectiveness of tsunami evacuation principles in the 2011 Great East Japan tsunami by using text mining","Multimedia Tools and Applications","","75","20","10.1007/s11042-014-2326-2","Nam-Yi YunSeok-Won Lee","2016","http://link.springer.com/article/10.1007/s11042-014-2326-2","Article"
"Using semantic roles to improve text classification in the requirements domain","Language Resources and Evaluation","","52","3","10.1007/s10579-017-9406-7","Alejandro RagoClaudia MarcosJ. Andres Diaz-Pace","2018","http://link.springer.com/article/10.1007/s10579-017-9406-7","Article"
"Critical Success Factors to Improve the Game Development Process from a Developer’s Perspective","Journal of Computer Science and Technology","","31","5","10.1007/s11390-016-1673-z","Saiqa AleemLuiz Fernando CapretzFaheem Ahmed","2016","http://link.springer.com/article/10.1007/s11390-016-1673-z","Article"
"Effective deadlock resolution with self-interested partially-rational agents","Annals of Mathematics and Artificial Intelligence","","72","3 - 4","10.1007/s10472-014-9422-x","Nadav SofyDavid Sarne","2014","http://link.springer.com/article/10.1007/s10472-014-9422-x","Article"
"Tackling the term-mismatch problem in automated trace retrieval","Empirical Software Engineering","","22","3","10.1007/s10664-016-9479-8","Jin GuoMarek GibiecJane Cleland-Huang","2017","http://link.springer.com/article/10.1007/s10664-016-9479-8","Article"
"App store mining is not enough for app improvement","Empirical Software Engineering","","23","5","10.1007/s10664-018-9601-1","Maleknaz NayebiHenry ChoGuenther Ruhe","2018","http://link.springer.com/article/10.1007/s10664-018-9601-1","Article"
"A mapping study of the Brazilian SBSE community","Journal of Software Engineering Research and Development","","2","1","10.1186/2195-1721-2-3","Wesley KG AssunçãoMárcio de O BarrosThelma E ColanziArilo C Dias-NetoMatheus HE PaixãoJerffeson T de SouzaSilvia R Vergilio","2014","http://link.springer.com/article/10.1186/2195-1721-2-3","Article"
"Software requirements prioritization and selection using linguistic tools and constraint solvers—a controlled experiment","Empirical Software Engineering","","20","6","10.1007/s10664-014-9334-8","Jason McZaraShahryar SarkaniThomas HolzerTimothy Eveleigh","2015","http://link.springer.com/article/10.1007/s10664-014-9334-8","Article"
"A systematic literature review of the Teleo-Reactive paradigm","Artificial Intelligence Review","","42","4","10.1007/s10462-012-9350-2","Jose Luis MoralesPedro SánchezDiego Alonso","2014","http://link.springer.com/article/10.1007/s10462-012-9350-2","Article"
"Editorial: ASE 2011 conference trip report","Automated Software Engineering","","19","1","10.1007/s10515-011-0097-9","Robert J. Hall","2012","http://link.springer.com/article/10.1007/s10515-011-0097-9","Article"
"Supporting and accelerating reproducible empirical research in software evolution and maintenance using TraceLab Component Library","Empirical Software Engineering","","20","5","10.1007/s10664-014-9339-3","Bogdan DitEvan MoritzMario Linares-VásquezDenys PoshyvanykJane Cleland-Huang","2015","http://link.springer.com/article/10.1007/s10664-014-9339-3","Article"
"Semi-automatic rule-based domain terminology and software feature-relevant information extraction from natural language user manuals","Empirical Software Engineering","","23","6","10.1007/s10664-018-9597-6","Thomas QuirchmayrBarbara PaechRoland KohlHannes KareyGunar Kasdepke","2018","http://link.springer.com/article/10.1007/s10664-018-9597-6","Article"
"Empirical Research in Software Engineering — A Literature Survey","Journal of Computer Science and Technology","","33","5","10.1007/s11390-018-1864-x","Li ZhangJia-Hao TianJing JiangYi-Jun LiuMeng-Yuan PuTao Yue","2018","http://link.springer.com/article/10.1007/s11390-018-1864-x","Article"
"Big Data and software engineering: prospects for mutual enrichment","Iran Journal of Computer Science","","1","1","10.1007/s42044-017-0003-0","Timothy Arndt","2018","http://link.springer.com/article/10.1007/s42044-017-0003-0","Article"
"Automating trade-off analysis of security requirements","Requirements Engineering","","21","4","10.1007/s00766-015-0229-z","Liliana PasqualePaola SpoletiniMazeiar SalehieLuca CavallaroBashar Nuseibeh","2016","http://link.springer.com/article/10.1007/s00766-015-0229-z","Article"
"Intelligent framework for diagnosis of frozen shoulder using cross sectional survey and case studies","SpringerPlus","","5","1","10.1186/s40064-016-3537-y","Humaira BatoolM. Usman AkramFouzia BatoolWasi Haider Butt","2016","http://link.springer.com/article/10.1186/s40064-016-3537-y","Article"
"Detecting requirements defects with NLP patterns: an industrial experience in the railway domain","Empirical Software Engineering","","23","6","10.1007/s10664-018-9596-7","Alessio FerrariGloria GoriBenedetta RosadiniIacopo TrottaStefano BacheriniAlessandro FantechiStefania Gnesi","2018","http://link.springer.com/article/10.1007/s10664-018-9596-7","Article"
"STAMINA: a competition to encourage the development and assessment of software model inference techniques","Empirical Software Engineering","","18","4","10.1007/s10664-012-9210-3","Neil WalkinshawBernard LambeauChristophe DamasKirill BogdanovPierre Dupont","2013","http://link.springer.com/article/10.1007/s10664-012-9210-3","Article"
"Reducing user input requests to improve IT support ticket resolution process","Empirical Software Engineering","","23","3","10.1007/s10664-017-9532-2","Monika GuptaAllahbaksh AsadullahSrinivas PadmanabhuniAlexander Serebrenik","2018","http://link.springer.com/article/10.1007/s10664-017-9532-2","Article"
"Dynamic evaluation of the development process of knowledge-based information systems","Knowledge and Information Systems","","35","1","10.1007/s10115-012-0491-z","Ghassan BeydounAchim Hoffmann","2013","http://link.springer.com/article/10.1007/s10115-012-0491-z","Article"
"Roundtable: Research Opportunities and Challenges for Emerging Software Systems","Journal of Computer Science and Technology","","30","5","10.1007/s11390-015-1572-8","Xiangyu ZhangDongmei ZhangYves Le TraonQing WangLu Zhang","2015","http://link.springer.com/article/10.1007/s11390-015-1572-8","Article"
"Empirical studies in software and systems traceability","Empirical Software Engineering","","22","3","10.1007/s10664-017-9509-1","Patrick MäderRocco OlivettoAndrian Marcus","2017","http://link.springer.com/article/10.1007/s10664-017-9509-1","Article"
"Empirical evidence on the link between object-oriented measures and external quality attributes: a systematic literature review","Empirical Software Engineering","","20","3","10.1007/s10664-013-9291-7","Ronald JabangweJürgen BörstlerDarja ŠmiteClaes Wohlin","2015","http://link.springer.com/article/10.1007/s10664-013-9291-7","Article"
"Big data in manufacturing: a systematic mapping study","Journal of Big Data","","2","1","10.1186/s40537-015-0028-x","Peter O’DonovanKevin LeahyKen BrutonDominic T. J. O’Sullivan","2015","http://link.springer.com/article/10.1186/s40537-015-0028-x","Article"
"Implementing an Integrative Multi-agent Clinical Decision Support System with Open Source Software","Journal of Medical Systems","","36","1","10.1007/s10916-010-9452-9","Jelber Sayyad ShirabadSzymon WilkWojtek MichalowskiKen Farion","2012","http://link.springer.com/article/10.1007/s10916-010-9452-9","Article"
"Incorporating technology in service-oriented i* business models: a case study","Information Systems and e-Business Management","","15","2","10.1007/s10257-016-0316-9","Alicia MartinezBlanca VazquezHugo EstradaLuis SantillanCrispin Zavala","2017","http://link.springer.com/article/10.1007/s10257-016-0316-9","Article"
"A survey on self-healing systems: approaches and systems","Computing","","91","1","10.1007/s00607-010-0107-y","Harald PsaierSchahram Dustdar","2011","http://link.springer.com/article/10.1007/s00607-010-0107-y","Article"
"Using model transformation to refactor use case models based on antipatterns","Information Systems Frontiers","","18","1","10.1007/s10796-014-9528-z","Yasser A. KhanMohamed El-Attar","2016","http://link.springer.com/article/10.1007/s10796-014-9528-z","Article"
"A survey on search-based model-driven engineering","Automated Software Engineering","","24","2","10.1007/s10515-017-0215-4","Ilhem BoussaïdPatrick SiarryMohamed Ahmed-Nacer","2017","http://link.springer.com/article/10.1007/s10515-017-0215-4","Article"
"Major motivations for extract method refactorings: analysis based on interviews and change histories","Frontiers of Computer Science","","10","4","10.1007/s11704-016-5131-4","Wenmei LiuHui Liu","2016","http://link.springer.com/article/10.1007/s11704-016-5131-4","Article"
"Adaptive goal selection for agents in dynamic environments","Knowledge and Information Systems","","37","3","10.1007/s10115-013-0645-7","Huiliang ZhangXudong LuoChunyan MiaoZhiqi ShenJin You","2013","http://link.springer.com/article/10.1007/s10115-013-0645-7","Article"
"Archetypal personalities of software engineers and their work preferences: a new perspective for empirical studies","Empirical Software Engineering","","21","4","10.1007/s10664-015-9395-3","Makrina Viola KostiRobert FeldtLefteris Angelis","2016","http://link.springer.com/article/10.1007/s10664-015-9395-3","Article"
"From a literature review to a conceptual framework of enablers for smart manufacturing control","The International Journal of Advanced Manufacturing Technology","","104","1 - 4","10.1007/s00170-019-03854-4","Rafael A. RojasErwin Rauch","2019","http://link.springer.com/article/10.1007/s00170-019-03854-4","Article"
"On negative results when using sentiment analysis tools for software engineering research","Empirical Software Engineering","","22","5","10.1007/s10664-016-9493-x","Robbert JongelingProshanta SarkarSubhajit DattaAlexander Serebrenik","2017","http://link.springer.com/article/10.1007/s10664-016-9493-x","Article"
"SPL Conqueror: Toward optimization of non-functional properties in software product lines","Software Quality Journal","","20","3 - 4","10.1007/s11219-011-9152-9","Norbert SiegmundMarko RosenmüllerMartin KuhlemannChristian KästnerSven ApelGunter Saake","2012","http://link.springer.com/article/10.1007/s11219-011-9152-9","Article"
"Automated topic naming","Empirical Software Engineering","","18","6","10.1007/s10664-012-9209-9","Abram HindleNeil A. ErnstMichael W. GodfreyJohn Mylopoulos","2013","http://link.springer.com/article/10.1007/s10664-012-9209-9","Article"
"Assisting requirements analysts to find latent concerns with REAssistant","Automated Software Engineering","","23","2","10.1007/s10515-014-0156-0","Alejandro RagoClaudia MarcosJ. Andres Diaz-Pace","2016","http://link.springer.com/article/10.1007/s10515-014-0156-0","Article"
"Personalized adaptation in pervasive systems via non-functional requirements","Journal of Ambient Intelligence and Humanized Computing","","9","6","10.1007/s12652-017-0611-4","Estefanía SerralPaolo SernaniFabiano Dalpiaz","2018","http://link.springer.com/article/10.1007/s12652-017-0611-4","Article"
"OptiMathSAT: A Tool for Optimization Modulo Theories","Journal of Automated Reasoning","","","","10.1007/s10817-018-09508-6","Roberto SebastianiPatrick Trentin","2018","http://link.springer.com/article/10.1007/s10817-018-09508-6","Article"
"Developer social networks in software engineering: construction, analysis, and applications","Science China Information Sciences","","57","12","10.1007/s11432-014-5221-6","WeiQiang ZhangLiMing NieHe JiangZhenYu ChenJia Liu","2014","http://link.springer.com/article/10.1007/s11432-014-5221-6","Article"
"From software verification to ‘everyware’ verification","Computer Science - Research and Development","","28","4","10.1007/s00450-013-0249-1","Marta Kwiatkowska","2013","http://link.springer.com/article/10.1007/s00450-013-0249-1","Article"
"Optimal security hardening on attack tree models of networks: a cost-benefit analysis","International Journal of Information Security","","11","3","10.1007/s10207-012-0160-y","Rinku DewriIndrajit RayNayot PoolsappasitDarrell Whitley","2012","http://link.springer.com/article/10.1007/s10207-012-0160-y","Article"
